,Team,Total Points,Points Per Game,Scoring Margin,FG: Made-Attempted,FG: Percentage,FG: Per Game,3PT: Made-Attempted,3PT: Percentage,3PT: Per Game,FT: Made-Attempted,FT: Percentage,FT: Per Game,Total Rebounds,Rebounds Per Game,Rebound Margin,Total Assists,Assists Per Game,Total Turnovers,Turnovers Per Game,Turnovers Margin,Assist/Turnover Ratio,Points Off Turnovers,Total Steals,Steals Per Game,Total Blocks,Blocks Per Game,Total Attendance,Attendance Per Game,Season
0,Illinois,2429,75.9,2.6,877-1832,.479,27.4,158-431,.367,4.9,517-750,.689,16.2,1155,36.1,2.9,496,15.5,485,15.2,-1.8,1.0,0.0,179,5.6,92,2.9,214498,"16-13,406",1992-93
1,Opponents,2347,73.3,--,860-1926,.447,26.9,181-493,.367,5.7,446-643,.694,13.9,1061,33.2,--,440,13.8,429,13.4,--,1.0,0.0,212,6.6,104,3.3,131019,"10-13,102",1992-93
0,Illinois,2353,84.0,9.2,833-1739,.479,29.8,162-436,.372,5.8,525-732,.717,18.8,1081,38.6,6.6,483,17.3,374,13.4,1.5,1.3,0.0,171,6.1,79,2.8,240301,"16-15,019",1993-94
1,Opponents,2095,74.8,--,727-1647,.441,26.0,178-468,.380,6.4,463-629,.736,16.5,897,32.0,--,424,15.1,417,14.9,--,1.0,0.0,148,5.3,88,3.1,126456,"10-12,646",1993-94
0,Illinois,2265,73.1,4.5,823-1842,.447,26.5,167-458,.365,5.4,452-694,.651,14.6,1187,38.3,6.4,397,12.8,425,13.7,0.7,0.9,0.0,174,5.6,53,1.7,221772,"14-15,841",1994-95
1,Opponents,2125,68.5,--,780-1728,.451,25.2,190-508,.374,6.1,375-597,.628,12.1,988,31.9,--,411,13.3,447,14.4,--,0.9,0.0,166,5.4,102,3.3,146721,"12-12,227",1994-95
0,Illinois,2352,75.9,6.1,844-1968,.429,27.2,231-661,.349,7.5,433-629,.688,14.0,1148,37.0,-0.1,500,16.1,353,11.4,4.0,1.4,0.0,207,6.7,83,2.7,236674,"16-14,792",1995-96
1,Opponents,2163,69.8,--,742-1765,.420,23.9,195-559,.349,6.3,484-697,.694,15.6,1152,37.2,--,414,13.4,478,15.4,--,0.9,0.0,154,5.0,92,3.0,132635,"10-13,264",1995-96
0,Illinois,2448,76.5,7.8,848-1917,.442,26.5,238-632,.377,7.4,514-691,.744,16.1,1076,33.6,-1.3,515,16.1,434,13.6,5.0,1.2,0.0,249,7.8,63,2.0,193364,"14-13,812",1996-97
1,Opponents,2197,68.7,--,782-1705,.459,24.4,158-463,.341,4.9,475-733,.648,14.8,1119,35.0,--,453,14.2,595,18.6,--,0.8,0.0,153,4.8,89,2.8,137751,"11-12,523",1996-97
0,Illinois,2301,69.7,6.2,827-1869,.442,25.1,215-593,.363,6.5,432-634,.681,13.1,1109,33.6,-0.8,469,14.2,444,13.5,2.8,1.1,0.0,244,7.4,89,2.7,191689,"14-13,692",1997-98
1,Opponents,2095,63.5,--,736-1766,.417,22.3,173-550,.315,5.2,450-655,.687,13.6,1135,34.4,--,415,12.6,535,16.2,--,0.8,0.0,170,5.2,84,2.5,152542,"10-15,254",1997-98
0,Illinois,1967,61.5,-1.3,705-1791,.394,22.0,165-477,.346,5.2,392-599,.654,12.3,1182,36.9,3.1,376,11.8,566,17.7,-0.4,0.7,0.0,269,8.4,107,3.3,169931,"13-13,072",1998-99
